"","ip","date","hour","minute","seconds","request1","status","respsize","timed","attaque"
"1","192.108.116.88","15/Dec/2017",15,29,38,"GET ",2,1040,2,1
"2","192.108.116.88","15/Dec/2017",15,29,38,"GET ",2,945,2,1
"3","192.108.116.88","15/Dec/2017",15,29,38,"GET ",2,34463,2,1
"4","192.108.116.88","15/Dec/2017",15,29,38,"GET ",2,21241,2,1
"5","192.108.116.88","15/Dec/2017",15,37,0,"GET ",2,1040,1,1
"6","192.108.116.88","15/Dec/2017",15,37,0,"GET ",2,945,2,1
"7","192.108.116.88","15/Dec/2017",15,37,0,"GET ",2,34463,2,1
"8","192.108.116.88","15/Dec/2017",15,37,1,"POST ",2,1073,2,1
"9","192.108.116.88","15/Dec/2017",15,37,1,"GET ",1,0,2,1
"10","192.108.116.88","15/Dec/2017",15,37,1,"GET ",1,0,2,1
"11","192.108.116.88","15/Dec/2017",15,37,1,"POST ",2,1073,2,1
"12","192.108.116.88","15/Dec/2017",15,37,1,"GET ",1,0,2,1
"13","192.108.116.88","15/Dec/2017",15,37,1,"GET ",1,0,2,1
"14","192.108.116.88","15/Dec/2017",15,37,15,"GET ",2,1040,1,1
"15","192.108.116.88","15/Dec/2017",15,37,16,"GET ",2,945,2,1
"16","192.108.116.88","15/Dec/2017",15,37,16,"GET ",2,34463,2,1
"17","192.108.116.88","15/Dec/2017",15,37,16,"POST ",2,1073,2,1
"18","192.108.116.88","15/Dec/2017",15,37,16,"GET ",1,0,2,1
"19","192.108.116.88","15/Dec/2017",15,37,16,"GET ",1,0,2,1
"20","192.108.116.88","15/Dec/2017",15,37,16,"POST ",2,1073,2,1
"21","192.108.116.88","15/Dec/2017",15,37,16,"GET ",1,0,2,1
"22","192.108.116.88","15/Dec/2017",15,37,17,"GET ",1,0,2,1
"23","192.108.116.88","15/Dec/2017",15,37,19,"GET ",1,0,2,1
"24","192.108.116.88","15/Dec/2017",15,37,19,"GET ",1,0,2,1
"25","192.108.116.88","15/Dec/2017",15,37,19,"GET ",1,0,2,1
"26","192.108.116.88","15/Dec/2017",15,37,19,"POST ",2,1073,2,1
"27","192.108.116.88","15/Dec/2017",15,37,19,"GET ",1,0,2,1
"28","192.108.116.88","15/Dec/2017",15,37,19,"GET ",1,0,2,1
"29","192.108.116.88","15/Dec/2017",15,37,19,"POST ",2,1073,2,1
"30","192.108.116.88","15/Dec/2017",15,37,19,"GET ",1,0,2,1
"31","192.108.116.88","15/Dec/2017",15,37,19,"GET ",1,0,2,1
"32","192.108.116.88","15/Dec/2017",15,37,21,"GET ",1,0,2,1
"33","192.108.116.88","15/Dec/2017",15,37,22,"GET ",1,0,2,1
"34","192.108.116.88","15/Dec/2017",15,37,22,"GET ",1,0,2,1
"35","192.108.116.88","15/Dec/2017",15,37,22,"POST ",2,1073,2,1
"36","192.108.116.88","15/Dec/2017",15,37,22,"GET ",1,0,2,1
"37","192.108.116.88","15/Dec/2017",15,37,22,"GET ",1,0,2,1
"38","192.108.116.88","15/Dec/2017",15,37,22,"POST ",2,1073,2,1
"39","192.108.116.88","15/Dec/2017",15,37,23,"GET ",1,0,2,1
"40","192.108.116.88","15/Dec/2017",15,37,23,"GET ",1,0,2,1
"41","192.108.116.88","15/Dec/2017",15,37,25,"GET ",1,0,2,1
"42","192.108.116.88","15/Dec/2017",15,37,25,"GET ",1,0,2,1
"43","192.108.116.88","15/Dec/2017",15,37,25,"GET ",1,0,2,1
"44","192.108.116.88","15/Dec/2017",15,37,25,"POST ",2,1073,2,1
"45","192.108.116.88","15/Dec/2017",15,37,26,"GET ",1,0,2,1
"46","192.108.116.88","15/Dec/2017",15,37,26,"GET ",1,0,2,1
"47","192.108.116.88","15/Dec/2017",15,37,26,"POST ",2,1073,2,1
"48","192.108.116.88","15/Dec/2017",15,37,26,"GET ",1,0,2,1
"49","192.108.116.88","15/Dec/2017",15,37,26,"GET ",1,0,2,1
"50","192.108.116.88","15/Dec/2017",15,37,28,"GET ",1,0,2,1
"51","192.108.116.88","15/Dec/2017",15,37,29,"GET ",1,0,2,1
"52","192.108.116.88","15/Dec/2017",15,37,29,"GET ",1,0,2,1
"53","192.108.116.88","15/Dec/2017",15,37,29,"POST ",2,1073,2,1
"54","192.108.116.88","15/Dec/2017",15,37,29,"GET ",1,0,2,1
"55","192.108.116.88","15/Dec/2017",15,37,29,"GET ",1,0,2,1
"56","192.108.116.88","15/Dec/2017",15,37,30,"POST ",2,1073,2,1
"57","192.108.116.88","15/Dec/2017",15,37,30,"GET ",1,0,2,1
"58","192.108.116.88","15/Dec/2017",15,37,30,"GET ",1,0,2,1
"59","192.108.116.88","15/Dec/2017",15,37,32,"GET ",1,0,2,1
"60","192.108.116.88","15/Dec/2017",15,37,32,"GET ",1,0,2,1
"61","192.108.116.88","15/Dec/2017",15,37,32,"GET ",1,0,2,1
"62","192.108.116.88","15/Dec/2017",15,37,32,"POST ",2,1073,2,1
"63","192.108.116.88","15/Dec/2017",15,37,33,"GET ",1,0,2,1
"64","192.108.116.88","15/Dec/2017",15,37,33,"GET ",1,0,2,1
"65","192.108.116.88","15/Dec/2017",15,37,33,"POST ",2,1073,2,1
"66","192.108.116.88","15/Dec/2017",15,37,33,"GET ",1,0,2,1
"67","192.108.116.88","15/Dec/2017",15,37,33,"GET ",1,0,2,1
"68","192.108.116.88","15/Dec/2017",15,37,35,"GET ",1,0,2,1
"69","192.108.116.88","15/Dec/2017",15,37,35,"GET ",1,0,2,1
"70","192.108.116.88","15/Dec/2017",15,37,35,"GET ",1,0,2,1
"71","192.108.116.88","15/Dec/2017",15,37,36,"POST ",2,1073,2,1
"72","192.108.116.88","15/Dec/2017",15,37,36,"GET ",1,0,2,1
"73","192.108.116.88","15/Dec/2017",15,37,36,"GET ",1,0,2,1
"74","192.108.116.88","15/Dec/2017",15,37,36,"POST ",2,1073,2,1
"75","192.108.116.88","15/Dec/2017",15,37,36,"GET ",1,0,2,1
"76","192.108.116.88","15/Dec/2017",15,37,36,"GET ",1,0,2,1
"77","192.108.116.88","15/Dec/2017",15,37,38,"GET ",1,0,2,1
"78","192.108.116.88","15/Dec/2017",15,37,39,"GET ",1,0,2,1
"79","192.108.116.88","15/Dec/2017",15,37,39,"GET ",1,0,2,1
"80","192.108.116.88","15/Dec/2017",15,37,39,"POST ",2,1073,2,1
"81","192.108.116.88","15/Dec/2017",15,37,39,"GET ",1,0,2,1
"82","192.108.116.88","15/Dec/2017",15,37,39,"GET ",1,0,2,1
"83","192.108.116.88","15/Dec/2017",15,37,39,"POST ",2,1073,2,1
"84","192.108.116.88","15/Dec/2017",15,37,40,"GET ",1,0,2,1
"85","192.108.116.88","15/Dec/2017",15,37,40,"GET ",1,0,2,1
"86","192.108.116.88","15/Dec/2017",15,37,42,"GET ",1,0,2,1
"87","192.108.116.88","15/Dec/2017",15,37,42,"GET ",1,0,2,1
"88","192.108.116.88","15/Dec/2017",15,37,42,"GET ",1,0,2,1
"89","192.108.116.88","15/Dec/2017",15,37,43,"POST ",2,1073,2,1
"90","192.108.116.88","15/Dec/2017",15,37,43,"GET ",1,0,2,1
"91","192.108.116.88","15/Dec/2017",15,37,43,"GET ",1,0,2,1
"92","192.108.116.88","15/Dec/2017",15,37,43,"POST ",2,1073,2,1
"93","192.108.116.88","15/Dec/2017",15,37,43,"GET ",1,0,2,1
"94","192.108.116.88","15/Dec/2017",15,37,43,"GET ",1,0,2,1
"95","192.108.116.88","15/Dec/2017",15,37,46,"GET ",1,0,1,1
"96","192.108.116.88","15/Dec/2017",15,37,46,"GET ",1,0,2,1
"97","192.108.116.88","15/Dec/2017",15,37,46,"GET ",1,0,2,1
"98","192.108.116.88","15/Dec/2017",15,37,46,"POST ",2,1073,2,1
"99","192.108.116.88","15/Dec/2017",15,37,46,"GET ",1,0,2,1
"100","192.108.116.88","15/Dec/2017",15,37,46,"GET ",1,0,2,1
"101","192.108.116.88","15/Dec/2017",15,37,46,"POST ",2,1073,2,1
"102","192.108.116.88","15/Dec/2017",15,37,46,"GET ",1,0,2,1
"103","192.108.116.88","15/Dec/2017",15,37,47,"GET ",1,0,2,1
"104","192.108.116.88","15/Dec/2017",15,37,49,"GET ",1,0,2,1
"105","192.108.116.88","15/Dec/2017",15,37,49,"GET ",1,0,2,1
"106","192.108.116.88","15/Dec/2017",15,37,49,"GET ",1,0,2,1
"107","192.108.116.88","15/Dec/2017",15,37,49,"POST ",2,1073,2,1
"108","192.108.116.88","15/Dec/2017",15,37,49,"GET ",1,0,2,1
"109","192.108.116.88","15/Dec/2017",15,37,49,"GET ",1,0,2,1
"110","192.108.116.88","15/Dec/2017",15,37,50,"POST ",2,1073,2,1
