"","ip","date","hour","minute","seconds","zone","request1","request2","status","respsize","url","computer","timeR","attaque"
"1","192.108.116.88","17/Dec/2017","16","19","59","+0000","GET "," HTTP/1.1/NA",200,1040,NA,"datalab SELECT @@version Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",23,1
"2","192.108.116.88","17/Dec/2017","16","19","59","+0000","GET ","css/index.css HTTP/1.1",200,945,"http://31.14.135.81:3000/","datalab SELECT @@version Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",10,1
"3","192.108.116.88","17/Dec/2017","16","19","59","+0000","GET ","img/logo.png HTTP/1.1",200,34463,"http://31.14.135.81:3000/","datalab SELECT @@version Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",2,1
"4","192.108.116.88","17/Dec/2017","16","20","00","+0000","POST ","datalab HTTP/1.1/NA",200,1073,"http://31.14.135.81:3000/","datalab SELECT @@version Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",180,1
"5","192.108.116.88","17/Dec/2017","16","20","00","+0000","GET ","css/index.css HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT @@version Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"6","192.108.116.88","17/Dec/2017","16","20","00","+0000","GET ","img/logo.png HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT @@version Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"7","192.108.116.88","17/Dec/2017","16","20","22","+0000","GET "," HTTP/1.1/NA",200,1040,NA,"datalab SELECT 1; #comment Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"8","192.108.116.88","17/Dec/2017","16","20","22","+0000","GET ","css/index.css HTTP/1.1",200,945,"http://31.14.135.81:3000/","datalab SELECT 1; #comment Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",5,1
"9","192.108.116.88","17/Dec/2017","16","20","22","+0000","GET ","img/logo.png HTTP/1.1",200,34463,"http://31.14.135.81:3000/","datalab SELECT 1; #comment Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"10","192.108.116.88","17/Dec/2017","16","20","23","+0000","POST ","datalab HTTP/1.1/NA",200,1073,"http://31.14.135.81:3000/","datalab SELECT 1; #comment Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",171,1
"11","192.108.116.88","17/Dec/2017","16","20","24","+0000","GET ","css/index.css HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT 1; #comment Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"12","192.108.116.88","17/Dec/2017","16","20","24","+0000","GET ","img/logo.png HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT 1; #comment Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"13","192.108.116.88","17/Dec/2017","16","20","40","+0000","GET "," HTTP/1.1/NA",200,1040,NA,"datalab SELECT /*comment*/1; Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"14","192.108.116.88","17/Dec/2017","16","20","40","+0000","GET ","css/index.css HTTP/1.1",200,945,"http://31.14.135.81:3000/","datalab SELECT /*comment*/1; Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"15","192.108.116.88","17/Dec/2017","16","20","40","+0000","GET ","img/logo.png HTTP/1.1",200,34463,"http://31.14.135.81:3000/","datalab SELECT /*comment*/1; Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",2,1
"16","192.108.116.88","17/Dec/2017","16","20","41","+0000","POST ","datalab HTTP/1.1/NA",200,1073,"http://31.14.135.81:3000/","datalab SELECT /*comment*/1; Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",141,1
"17","192.108.116.88","17/Dec/2017","16","20","41","+0000","GET ","css/index.css HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT /*comment*/1; Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"18","192.108.116.88","17/Dec/2017","16","20","41","+0000","GET ","img/logo.png HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT /*comment*/1; Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"19","192.108.116.88","17/Dec/2017","16","20","58","+0000","GET "," HTTP/1.1/NA",200,1040,NA,"datalab SELECT user(); Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"20","192.108.116.88","17/Dec/2017","16","20","59","+0000","GET ","css/index.css HTTP/1.1",200,945,"http://31.14.135.81:3000/","datalab SELECT user(); Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",3,1
"21","192.108.116.88","17/Dec/2017","16","20","59","+0000","GET ","img/logo.png HTTP/1.1",200,34463,"http://31.14.135.81:3000/","datalab SELECT user(); Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"22","192.108.116.88","17/Dec/2017","16","21","00","+0000","POST ","datalab HTTP/1.1/NA",200,1073,"http://31.14.135.81:3000/","datalab SELECT user(); Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",173,1
"23","192.108.116.88","17/Dec/2017","16","21","00","+0000","GET ","css/index.css HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT user(); Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"24","192.108.116.88","17/Dec/2017","16","21","00","+0000","GET ","img/logo.png HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT user(); Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"25","192.108.116.88","17/Dec/2017","16","21","17","+0000","GET "," HTTP/1.1/NA",200,1040,NA,"datalab SELECT system_user(); Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"26","192.108.116.88","17/Dec/2017","16","21","17","+0000","GET ","css/index.css HTTP/1.1",200,945,"http://31.14.135.81:3000/","datalab SELECT system_user(); Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"27","192.108.116.88","17/Dec/2017","16","21","17","+0000","GET ","img/logo.png HTTP/1.1",200,34463,"http://31.14.135.81:3000/","datalab SELECT system_user(); Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"28","192.108.116.88","17/Dec/2017","16","21","19","+0000","POST ","datalab HTTP/1.1/NA",200,1073,"http://31.14.135.81:3000/","datalab SELECT system_user(); Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",165,1
"29","192.108.116.88","17/Dec/2017","16","21","19","+0000","GET ","css/index.css HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT system_user(); Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"30","192.108.116.88","17/Dec/2017","16","21","19","+0000","GET ","img/logo.png HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT system_user(); Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"31","192.108.116.88","17/Dec/2017","16","21","43","+0000","GET "," HTTP/1.1/NA",200,1040,NA,"datalab SELECT user FROM mysql.user; - priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",2,1
"32","192.108.116.88","17/Dec/2017","16","21","43","+0000","GET ","css/index.css HTTP/1.1",200,945,"http://31.14.135.81:3000/","datalab SELECT user FROM mysql.user; - priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",2,1
"33","192.108.116.88","17/Dec/2017","16","21","44","+0000","GET ","img/logo.png HTTP/1.1",200,34463,"http://31.14.135.81:3000/","datalab SELECT user FROM mysql.user; - priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"34","192.108.116.88","17/Dec/2017","16","21","45","+0000","POST ","datalab HTTP/1.1/NA",200,1073,"http://31.14.135.81:3000/","datalab SELECT user FROM mysql.user; - priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",170,1
"35","192.108.116.88","17/Dec/2017","16","21","45","+0000","GET ","img/logo.png HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT user FROM mysql.user; - priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"36","192.108.116.88","17/Dec/2017","16","21","45","+0000","GET ","css/index.css HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT user FROM mysql.user; - priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"37","192.108.116.88","17/Dec/2017","16","22","09","+0000","GET "," HTTP/1.1/NA",200,1040,NA,"datalab SELECT host, user, password FROM mysql.user; ? priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"38","192.108.116.88","17/Dec/2017","16","22","09","+0000","GET ","css/index.css HTTP/1.1",200,945,"http://31.14.135.81:3000/","datalab SELECT host, user, password FROM mysql.user; ? priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"39","192.108.116.88","17/Dec/2017","16","22","10","+0000","GET ","img/logo.png HTTP/1.1",200,34463,"http://31.14.135.81:3000/","datalab SELECT host, user, password FROM mysql.user; ? priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"40","192.108.116.88","17/Dec/2017","16","22","11","+0000","POST ","datalab HTTP/1.1/NA",200,1073,"http://31.14.135.81:3000/","datalab SELECT host, user, password FROM mysql.user; ? priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",168,1
"41","192.108.116.88","17/Dec/2017","16","22","11","+0000","GET ","css/index.css HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT host, user, password FROM mysql.user; ? priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",2,1
"42","192.108.116.88","17/Dec/2017","16","22","11","+0000","GET ","img/logo.png HTTP/1.1",304,NA,"http://31.14.135.81:3000/","datalab SELECT host, user, password FROM mysql.user; ? priv Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",5,1
"43","192.108.116.88","17/Dec/2017","16","22","28","+0000","GET "," HTTP/1.1/NA",200,1040,NA,"datalab SELECT grantee, privilege_type, is_grantable FROM information_schema.user_privileges; ? list user privsSELECT host, user, Select_priv, Insert_priv, Update_priv, Delete_priv, Create_priv, Drop_priv, Reload_priv, Shutdown_priv, Process_priv, File_priv, Grant_priv, References_priv, Index_priv, Alter_priv, Show_db_priv, Super_priv, Create_tmp_table_priv, Lock_tables_priv, Execute_priv, Repl_slave_priv, Repl_client_priv FROM mysql.user; ? priv, list user privsSELECT grantee, table_schema, privilege_type FROM information_schema.schema_privileges; ? list privs on databases (schemas)SELECT table_schema, table_name, column_name, privilege_type FROM information_schema.column_privileges; ? list privs on columns Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"44","192.108.116.88","17/Dec/2017","16","22","28","+0000","GET ","css/index.css HTTP/1.1",200,945,"http://31.14.135.81:3000/","datalab SELECT grantee, privilege_type, is_grantable FROM information_schema.user_privileges; ? list user privsSELECT host, user, Select_priv, Insert_priv, Update_priv, Delete_priv, Create_priv, Drop_priv, Reload_priv, Shutdown_priv, Process_priv, File_priv, Grant_priv, References_priv, Index_priv, Alter_priv, Show_db_priv, Super_priv, Create_tmp_table_priv, Lock_tables_priv, Execute_priv, Repl_slave_priv, Repl_client_priv FROM mysql.user; ? priv, list user privsSELECT grantee, table_schema, privilege_type FROM information_schema.schema_privileges; ? list privs on databases (schemas)SELECT table_schema, table_name, column_name, privilege_type FROM information_schema.column_privileges; ? list privs on columns Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",1,1
"45","192.108.116.88","17/Dec/2017","16","22","29","+0000","GET ","img/logo.png HTTP/1.1",200,34463,"http://31.14.135.81:3000/","datalab SELECT grantee, privilege_type, is_grantable FROM information_schema.user_privileges; ? list user privsSELECT host, user, Select_priv, Insert_priv, Update_priv, Delete_priv, Create_priv, Drop_priv, Reload_priv, Shutdown_priv, Process_priv, File_priv, Grant_priv, References_priv, Index_priv, Alter_priv, Show_db_priv, Super_priv, Create_tmp_table_priv, Lock_tables_priv, Execute_priv, Repl_slave_priv, Repl_client_priv FROM mysql.user; ? priv, list user privsSELECT grantee, table_schema, privilege_type FROM information_schema.schema_privileges; ? list privs on databases (schemas)SELECT table_schema, table_name, column_name, privilege_type FROM information_schema.column_privileges; ? list privs on columns Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",0,1
"46","192.108.116.88","17/Dec/2017","16","22","30","+0000","POST ","datalab HTTP/1.1/NA",200,1073,"http://31.14.135.81:3000/","datalab SELECT grantee, privilege_type, is_grantable FROM information_schema.user_privileges; ? list user privsSELECT host, user, Select_priv, Insert_priv, Update_priv, Delete_priv, Create_priv, Drop_priv, Reload_priv, Shutdown_priv, Process_priv, File_priv, Grant_priv, References_priv, Index_priv, Alter_priv, Show_db_priv, Super_priv, Create_tmp_table_priv, Lock_tables_priv, Execute_priv, Repl_slave_priv, Repl_client_priv FROM mysql.user; ? priv, list user privsSELECT grantee, table_schema, privilege_type FROM information_schema.schema_privileges; ? list privs on databases (schemas)SELECT table_schema, table_name, column_name, privilege_type FROM information_schema.column_privileges; ? list privs on columns Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36",211,1
